id,odd
83,"[(2, 0.3366213), (3, 0.060643602), (6, 0.35779822), (8, 0.15943708), (9, 0.0817706)]"
84,"[(0, 0.1375594), (2, 0.36431566), (4, 0.30815658), (5, 0.02895421), (7, 0.14204426)]"
85,"[(0, 0.11954018), (2, 0.54982007), (6, 0.03987571), (7, 0.28117043)]"
86,"[(2, 0.019881299), (4, 0.19977695), (6, 0.14732158), (7, 0.07821688), (8, 0.058762424), (9, 0.49244845)]"
87,"[(0, 0.13393886), (2, 0.627818), (7, 0.22954737)]"
88,"[(0, 0.10195372), (1, 0.0930251), (4, 0.57802576), (6, 0.08310965), (7, 0.13131371)]"
89,"[(0, 0.18898635), (1, 0.018772326), (2, 0.010346797), (4, 0.30890104), (6, 0.026201906), (7, 0.38032773), (9, 0.066027544)]"
90,"[(0, 0.679579), (4, 0.030313788), (5, 0.27757698)]"
91,"[(0, 0.6641825), (2, 0.02884325), (4, 0.03460081), (5, 0.2700701)]"
92,"[(0, 0.086427055), (2, 0.22029406), (3, 0.46292725), (4, 0.043727662), (7, 0.023797108), (8, 0.16131319)]"
93,"[(0, 0.2617991), (1, 0.14360613), (2, 0.015606551), (3, 0.035455577), (4, 0.5104627), (6, 0.03149605)]"
94,"[(0, 0.2845846), (3, 0.015966723), (4, 0.028245386), (5, 0.3275288), (7, 0.3312982), (9, 0.010492914)]"
95,"[(0, 0.3281588), (4, 0.03702622), (5, 0.2716072), (7, 0.36063576)]"
96,"[(0, 0.18815567), (1, 0.0111235585), (2, 0.04632138), (3, 0.021197323), (4, 0.12242251), (5, 0.15737167), (6, 0.083408594), (7, 0.07335979), (8, 0.2962943)]"
97,"[(0, 0.1881554), (1, 0.011123527), (2, 0.046320584), (3, 0.021194898), (4, 0.122424915), (5, 0.15737267), (6, 0.083407864), (7, 0.0733596), (8, 0.29629537)]"
98,"[(0, 0.024198085), (1, 0.011190848), (2, 0.68171644), (3, 0.01845993), (4, 0.09330476), (5, 0.017373795), (6, 0.04540097), (7, 0.03871619), (8, 0.050563227), (9, 0.019075805)]"
99,"[(1, 0.46180013), (2, 0.43448573), (4, 0.031415444), (6, 0.015352622), (7, 0.013093494), (8, 0.017099084)]"
100,"[(2, 0.0154023785), (3, 0.49400523), (4, 0.025078166), (5, 0.31475642), (6, 0.076936), (7, 0.012674922), (8, 0.028446991), (9, 0.017838098)]"
101,"[(2, 0.1787595), (4, 0.030931957), (6, 0.68967384), (7, 0.019792302), (8, 0.03852131), (9, 0.039315842)]"
102,"[(2, 0.06564211), (4, 0.05486297), (6, 0.24369092), (7, 0.6280373)]"
103,"[(2, 0.09087784), (3, 0.21824668), (4, 0.26764724), (6, 0.3909751), (7, 0.028833134)]"
104,"[(2, 0.018334832), (3, 0.15958275), (4, 0.04167574), (6, 0.50367373), (7, 0.012477417), (8, 0.24190378)]"
105,"[(2, 0.02889639), (3, 0.13297714), (4, 0.10127466), (6, 0.6515236), (7, 0.04612914), (8, 0.014798279), (9, 0.021554044)]"
106,"[(2, 0.10739707), (4, 0.06432871), (6, 0.75699097), (8, 0.06588088)]"
107,"[(2, 0.05614539), (3, 0.1296393), (5, 0.06187573), (6, 0.6252847), (9, 0.11609958)]"
108,"[(2, 0.08438523), (4, 0.1708423), (6, 0.6066858), (8, 0.037820984), (9, 0.096530184)]"
109,"[(4, 0.094410226), (5, 0.045497812), (6, 0.22208038), (7, 0.018112447), (8, 0.36592153), (9, 0.24553224)]"
110,"[(0, 0.21123408), (1, 0.010041266), (2, 0.12854376), (4, 0.07207742), (5, 0.033128887), (6, 0.4192339), (8, 0.08882147), (9, 0.035366036)]"
111,"[(0, 0.08547288), (1, 0.011557866), (2, 0.02743248), (4, 0.2328527), (5, 0.099507645), (6, 0.3467602), (8, 0.19430977)]"
112,"[(2, 0.031196903), (4, 0.040307965), (6, 0.48801452), (7, 0.024744455), (8, 0.41236243)]"
113,"[(1, 0.011778321), (2, 0.027810771), (4, 0.4721673), (6, 0.41128048), (8, 0.073528804)]"
114,"[(2, 0.2580183), (4, 0.06373594), (5, 0.048983958), (6, 0.6059284), (8, 0.017650915)]"
115,"[(0, 0.06300167), (2, 0.15952629), (3, 0.04039026), (4, 0.16772726), (5, 0.03661639), (6, 0.4248429), (7, 0.025331384), (8, 0.08178505)]"
116,"[(0, 0.014201298), (1, 0.057902567), (2, 0.048417453), (3, 0.030694181), (4, 0.21718475), (6, 0.26086876), (7, 0.088309854), (8, 0.281072)]"
117,"[(0, 0.06077472), (2, 0.37265155), (4, 0.023060909), (6, 0.3119752), (7, 0.2203036)]"
118,"[(0, 0.04919881), (1, 0.04690737), (4, 0.43784457), (6, 0.24482626), (7, 0.103964694), (8, 0.1067455)]"
119,"[(1, 0.041098088), (2, 0.024988363), (4, 0.41550073), (6, 0.4309926), (8, 0.08434423)]"
120,"[(0, 0.023893343), (2, 0.2884628), (4, 0.11333328), (5, 0.014748631), (6, 0.5264537), (8, 0.030590683)]"
121,"[(0, 0.135469), (1, 0.01759829), (2, 0.07021895), (3, 0.059595674), (4, 0.14214246), (5, 0.037559208), (6, 0.41291296), (7, 0.05519566), (8, 0.033779934), (9, 0.035527892)]"
122,"[(2, 0.14363311), (6, 0.63934034), (8, 0.20425093)]"
123,"[(0, 0.010328392), (1, 0.02765405), (2, 0.08609339), (4, 0.09385423), (6, 0.5843857), (8, 0.03423063), (9, 0.16005206)]"
124,"[(1, 0.19649969), (3, 0.07050087), (4, 0.29311547), (6, 0.19701128), (7, 0.06683369), (8, 0.08824251), (9, 0.08341787)]"
125,"[(2, 0.078610465), (4, 0.10973835), (6, 0.7537237), (8, 0.029441876), (9, 0.024462193)]"
126,"[(0, 0.10002693), (2, 0.08437353), (4, 0.19693927), (6, 0.40950626), (8, 0.2057808)]"
127,"[(0, 0.010742663), (1, 0.019074198), (2, 0.060075633), (3, 0.037688702), (4, 0.25140592), (5, 0.03359116), (6, 0.4870252), (8, 0.09909633)]"
128,"[(0, 0.028395109), (2, 0.02606988), (3, 0.13349912), (4, 0.13679925), (5, 0.06873409), (6, 0.48724732), (8, 0.07226827), (9, 0.044507116)]"
129,"[(2, 0.17837843), (4, 0.40398344), (5, 0.17607297), (6, 0.12963179), (8, 0.027789412), (9, 0.08009729)]"
130,"[(3, 0.038115293), (4, 0.22555095), (5, 0.041185264), (6, 0.24240378), (7, 0.024716146), (8, 0.36765212), (9, 0.05623125)]"
131,"[(3, 0.08355453), (4, 0.2564304), (5, 0.011602955), (6, 0.49687073), (7, 0.10946197), (8, 0.029551389)]"
132,"[(2, 0.05880713), (6, 0.3703748), (7, 0.13678843), (8, 0.103170745), (9, 0.31951976)]"
133,"[(1, 0.020368865), (2, 0.08745249), (3, 0.021176148), (4, 0.052403264), (5, 0.122671425), (6, 0.66463006), (9, 0.023535714)]"
134,"[(2, 0.18044364), (4, 0.54951364), (5, 0.030528517), (6, 0.17621702), (8, 0.05253703)]"
135,"[(0, 0.34090337), (2, 0.44958213), (8, 0.20022908)]"
136,"[(0, 0.0449981), (1, 0.05520714), (2, 0.055214755), (3, 0.012552041), (4, 0.24086206), (5, 0.043599237), (6, 0.40182987), (7, 0.020869426), (8, 0.11466863), (9, 0.010198713)]"
137,"[(0, 0.03503413), (2, 0.06855841), (4, 0.11426323), (5, 0.10309548), (6, 0.19346964), (7, 0.097705476), (8, 0.26711696), (9, 0.1198264)]"
138,"[(0, 0.04227187), (1, 0.012012936), (4, 0.260622), (5, 0.15831475), (6, 0.4313332), (7, 0.0128818), (8, 0.03533912), (9, 0.044266082)]"
139,"[(4, 0.07687767), (5, 0.46150768), (6, 0.114770316), (7, 0.044344626), (8, 0.2939993)]"
140,"[(0, 0.07115064), (1, 0.04652381), (2, 0.04126211), (3, 0.15581644), (4, 0.14193909), (5, 0.13558042), (6, 0.35595047), (7, 0.013105387), (9, 0.035842832)]"
141,"[(2, 0.4468131), (4, 0.027417684), (6, 0.056397405), (7, 0.30933163), (8, 0.15597565)]"
142,"[(0, 0.05118082), (4, 0.17289834), (5, 0.02335126), (6, 0.42623785), (8, 0.24509902), (9, 0.078021884)]"
143,"[(2, 0.115472905), (4, 0.56637037), (5, 0.07102841), (6, 0.17109086), (8, 0.07214591)]"
